order_id,customer_id,order_date,total_amount,discount_amount,shipping_amount,tax_amount,payment_method,shipping_method,order_status,promo_code,device_type,store_id
O10001,C001,2022-01-05,549.98,0.00,15.00,43.99,credit_card,standard,completed,,desktop,online
O10002,C015,2022-01-07,199.99,0.00,10.00,16.00,paypal,express,completed,,mobile,online
O10003,C008,2022-01-10,329.99,0.00,12.50,26.40,credit_card,standard,completed,,desktop,online
O10004,C032,2022-01-12,119.98,0.00,8.00,9.60,debit_card,standard,completed,,tablet,online
O10005,C022,2022-01-15,799.98,80.00,0.00,57.60,credit_card,pickup,completed,NEWYEAR10,desktop,SD001
O10006,C017,2022-01-18,229.98,0.00,10.00,18.40,paypal,standard,completed,,mobile,online
O10007,C041,2022-01-20,449.98,0.00,15.00,36.00,credit_card,express,completed,,desktop,online
O10008,C003,2022-01-23,159.98,0.00,8.00,12.80,debit_card,standard,completed,,mobile,online
O10009,C029,2022-01-26,599.98,0.00,20.00,48.00,credit_card,express,completed,,desktop,online
O10010,C012,2022-01-28,89.99,0.00,5.00,7.20,paypal,standard,completed,,tablet,online
O10011,C024,2022-01-31,399.97,40.00,15.00,28.80,credit_card,standard,completed,WINTER21,mobile,online
O10012,C033,2022-02-03,149.99,0.00,8.00,12.00,debit_card,standard,completed,,desktop,online
O10013,C007,2022-02-05,679.98,0.00,20.00,54.40,credit_card,express,completed,,mobile,online
O10014,C019,2022-02-08,249.99,0.00,10.00,20.00,paypal,standard,completed,,tablet,online
O10015,C036,2022-02-10,349.98,35.00,12.50,25.20,credit_card,standard,completed,FEBSALE,desktop,online
O10016,C042,2022-02-13,499.99,0.00,15.00,40.00,debit_card,express,completed,,mobile,online
O10017,C026,2022-02-15,179.99,0.00,8.00,14.40,credit_card,standard,completed,,desktop,online
O10018,C011,2022-02-18,729.98,0.00,20.00,58.40,paypal,express,completed,,mobile,online
O10019,C039,2022-02-20,79.99,0.00,5.00,6.40,credit_card,standard,completed,,tablet,online
O10020,C014,2022-02-23,429.98,43.00,15.00,30.96,debit_card,standard,completed,FEBEND,desktop,online
O10021,C030,2022-02-26,189.99,0.00,8.00,15.20,credit_card,standard,completed,,mobile,online
O10022,C016,2022-02-28,649.99,0.00,20.00,52.00,paypal,express,completed,,desktop,online
O10023,C045,2022-03-03,109.99,0.00,8.00,8.80,debit_card,standard,completed,,tablet,online
O10024,C005,2022-03-05,579.98,58.00,15.00,41.76,credit_card,standard,completed,SPRING10,mobile,online
O10025,C021,2022-03-08,269.99,0.00,10.00,21.60,paypal,standard,completed,,desktop,online
O10026,C010,2022-03-10,529.98,0.00,15.00,42.40,credit_card,express,completed,,mobile,online
O10027,C034,2022-03-13,99.99,0.00,5.00,8.00,debit_card,standard,completed,,desktop,online
O10028,C025,2022-03-15,299.98,30.00,10.00,21.60,credit_card,standard,completed,MARCHSALE,tablet,online
O10029,C043,2022-03-18,799.99,0.00,20.00,64.00,paypal,express,completed,,mobile,online
O10030,C002,2022-03-21,219.99,0.00,10.00,17.60,credit_card,standard,completed,,desktop,online
O10031,C047,2022-03-23,129.98,0.00,8.00,10.40,debit_card,standard,completed,,mobile,online
O10032,C018,2022-03-26,879.98,88.00,20.00,63.36,credit_card,express,completed,SPRINGBREAK,tablet,online
O10033,C028,2022-03-29,379.99,0.00,12.50,30.40,paypal,standard,completed,,desktop,online
O10034,C013,2022-04-01,449.98,45.00,15.00,32.40,credit_card,standard,completed,APRILFOOL,mobile,online
O10035,C035,2022-04-04,199.99,0.00,8.00,16.00,debit_card,standard,completed,,desktop,online
O10036,C009,2022-04-07,749.98,0.00,20.00,60.00,credit_card,express,completed,,tablet,online
O10037,C048,2022-04-10,69.99,0.00,5.00,5.60,paypal,standard,completed,,mobile,online
O10038,C040,2022-04-13,549.98,55.00,15.00,39.60,credit_card,standard,completed,EASTER21,desktop,online
O10039,C004,2022-04-15,249.99,0.00,10.00,20.00,debit_card,standard,completed,,mobile,online
O10040,C031,2022-04-18,499.98,0.00,15.00,40.00,credit_card,express,completed,,tablet,online
